,wavelength,amplitude
971,865.124,3102
972,865.191,3091
973,865.258,3112
974,865.325,3107
975,865.392,3096
976,865.459,3088
977,865.526,3111
978,865.594,3098
979,865.661,3081
980,865.728,3101
981,865.795,3108
982,865.862,3107
983,865.929,3112
984,865.996,3126
985,866.063,3105
986,866.13,3105
987,866.197,3088
988,866.264,3101
989,866.331,3122
990,866.398,3166
991,866.465,3104
992,866.533,3106
993,866.6,3124
994,866.667,3107
995,866.734,3097
996,866.801,3115
997,866.868,3123
998,866.935,3094
999,867.002,3123
1000,867.069,3121
1001,867.136,3140
1002,867.203,3128
1003,867.27,3144
1004,867.337,3158
1005,867.404,3133
1006,867.471,3122
1007,867.539,3112
1008,867.606,3109
1009,867.673,3126
1010,867.74,3111
1011,867.807,3134
1012,867.874,3112
1013,867.941,3099
1014,868.008,3092
1015,868.075,3119
1016,868.142,3103
1017,868.209,3107
1018,868.276,3124
1019,868.343,3106
1020,868.41,3124
1021,868.478,3112
1022,868.545,3223
1023,868.612,3140
1024,868.679,3131
1025,868.746,3116
1026,868.813,3125
1027,868.88,3127
1028,868.947,3123
1029,869.014,3120
1030,869.081,3140
1031,869.148,3135
1032,869.215,3143
1033,869.282,3141
1034,869.349,3134
1035,869.416,3135
1036,869.484,3122
1037,869.551,3128
1038,869.618,3129
1039,869.685,3100
1040,869.752,3110
1041,869.819,3124
1042,869.886,3132
1043,869.953,3124
1044,870.02,3123
1045,870.087,3126
1046,870.154,3115
1047,870.221,3134
1048,870.288,3120
1049,870.355,3103
1050,870.423,3149
1051,870.49,3140
1052,870.557,3104
1053,870.624,3121
1054,870.691,3207
1055,870.758,3121
1056,870.825,3111
1057,870.892,3127
1058,870.959,3113
1059,871.026,3124
1060,871.093,3117
1061,871.16,3115
1062,871.227,3114
1063,871.294,3124
1064,871.362,3126
1065,871.429,3133
1066,871.496,3122
1067,871.563,3132
1068,871.63,3113
1069,871.697,3147
1070,871.764,3111
1071,871.831,3115
1072,871.898,3128
1073,871.965,3139
1074,872.032,3132
1075,872.099,3136
1076,872.166,3145
1077,872.233,3142
1078,872.3,3116
1079,872.368,3127
1080,872.435,3112
1081,872.502,3118
1082,872.569,3105
1083,872.636,3126
1084,872.703,3125
1085,872.77,3112
1086,872.837,3212
1087,872.904,3133
1088,872.971,3127
1089,873.038,3118
1090,873.105,3137
1091,873.172,3112
1092,873.239,3148
1093,873.307,3134
1094,873.374,3133
1095,873.441,3126
1096,873.508,3130
1097,873.575,3150
1098,873.642,3123
1099,873.709,3116
1100,873.776,3090
1101,873.843,3137
1102,873.91,3112
1103,873.977,3121
1104,874.044,3117
1105,874.111,3117
1106,874.178,3117
1107,874.245,3125
1108,874.313,3116
1109,874.38,3137
1110,874.447,3128
1111,874.514,3121
1112,874.581,3151
1113,874.648,3128
1114,874.715,3135
1115,874.782,3131
1116,874.849,3135
1117,874.916,3113
1118,874.983,3194
1119,875.05,3121
1120,875.117,3124
1121,875.184,3123
1122,875.252,3139
1123,875.319,3132
1124,875.386,3142
1125,875.453,3102
1126,875.52,3152
1127,875.587,3138
1128,875.654,3145
1129,875.721,3138
1130,875.788,3133
1131,875.855,3130
1132,875.922,3163
1133,875.989,3169
1134,876.056,3150
1135,876.123,3169
1136,876.19,3146
1137,876.258,3181
1138,876.325,3163
1139,876.392,3180
1140,876.459,3201
1141,876.526,3190
1142,876.593,3200
1143,876.66,3203
1144,876.727,3217
1145,876.794,3235
1146,876.861,3216
1147,876.928,3261
1148,876.995,3256
1149,877.062,3261
1150,877.129,3362
1151,877.197,3238
1152,877.264,3266
1153,877.331,3275
1154,877.398,3268
1155,877.465,3294
1156,877.532,3341
1157,877.599,3318
1158,877.666,3340
1159,877.733,3336
1160,877.8,3341
1161,877.867,3322
1162,877.934,3304
1163,878.001,3290
1164,878.068,3308
1165,878.135,3333
1166,878.203,3316
1167,878.27,3299
1168,878.337,3279
1169,878.404,3277
1170,878.471,3263
1171,878.538,3268
1172,878.605,3274
1173,878.672,3249
1174,878.739,3249
1175,878.806,3236
1176,878.873,3260
1177,878.94,3208
1178,879.007,3201
1179,879.074,3212
1180,879.142,3223
1181,879.209,3213
1182,879.276,3332
1183,879.343,3205
1184,879.41,3207
1185,879.477,3203
1186,879.544,3191
1187,879.611,3198
1188,879.678,3222
1189,879.745,3181
1190,879.812,3213
1191,879.879,3194
1192,879.946,3207
1193,880.013,3181
1194,880.08,3192
1195,880.148,3191
1196,880.215,3203
1197,880.282,3218
1198,880.349,3196
1199,880.416,3195
1200,880.483,3202
1201,880.55,3186
1202,880.617,3203
1203,880.684,3187
1204,880.751,3172
1205,880.818,3161
1206,880.885,3137
1207,880.952,3131
1208,881.019,3088
1209,881.087,3030
1210,881.154,2943
1211,881.221,2849
1212,881.288,2808
1213,881.355,2707
1214,881.422,2874
1215,881.489,2831
1216,881.556,2937
1217,881.623,2964
1218,881.69,3065
